id;tytul;opis;data_publikacji;data_waznosci;start_od;czy_widelki;widelki_min;widelki_max;aktywne
1;towards coin gosh;indeed zowie outgoing;2024-01-27T00:22:38;2024-01-27T15:46:55;2024-01-27T07:13:47;true;25871.03;5558.02;true
2;now mmm mockingly;smoothly supposing questionably;2024-01-27T19:53:45;2024-01-27T07:41:36;2024-01-27T19:43:38;false;14571.82;6688.66;false
3;furthermore;silt quirkily click;2024-01-27T10:49:36;2024-01-27T07:50:49;2024-01-27T15:20:46;true;31865.92;30827.83;false
4;recent since;below solution that;2024-01-27T07:53:14;2024-01-27T16:49:23;2024-01-27T20:05:18;true;5157.46;8878.41;false
5;pillage;times dwindle;2024-01-26T21:35:31;2024-01-27T01:07:44;2024-01-27T16:37:00;true;27852.34;11354.99;false
6;amidst aboard;silently livid;2024-01-27T00:57:02;2024-01-27T09:45:04;2024-01-26T23:48:00;true;1254.14;13511.74;true
7;oof ugh;fooey present forward;2024-01-27T14:55:49;2024-01-27T17:27:54;2024-01-27T12:47:20;false;17591.02;9374.15;true
8;kindhearted for;buggy fooey;2024-01-27T09:14:07;2024-01-26T22:34:01;2024-01-27T16:51:25;false;3358.41;17892.08;true
9;of participate;acidic prestigious unless;2024-01-27T14:50:06;2024-01-27T15:55:04;2024-01-27T17:59:49;false;26191.57;28556.29;true
10;since duh kick-off;tired evaluator yuck;2024-01-27T19:45:50;2024-01-26T22:24:29;2024-01-27T04:09:53;true;4368.63;30543.24;true
